Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Accuracy,Training Time (sec)
Logistic Regression,0.8914077186774301,0.5945273631840796,0.22589792060491493,0.3273972602739726,0.8725836368521791,0.8910364634857721,0.026829004287719727
Decision Tree,0.8995908437465443,0.5866050808314087,0.48015122873345933,0.5280665280665281,0.8507718276115543,0.894520170106286,0.12454891204833984
Random Forest,0.9064469755612076,0.6591591591591591,0.41493383742911155,0.5092807424593968,0.9246388253968629,0.9050543883494694,3.541069984436035
Gradient Boosting,0.9033506579674887,0.6451104100946372,0.38657844990548207,0.483451536643026,0.9223869661096598,0.9045013827624219,4.266584157943726
AdaBoost,0.8938405396439235,0.5881294964028777,0.30907372400756145,0.4052044609665427,0.8910130999404602,0.895404812390114,0.960512638092041
Extra Trees,0.902134247484242,0.6547406082289803,0.34593572778827975,0.45269016697588127,0.9210360754391801,0.9023723785260479,2.31164813041687
XGBoost,0.905783478933982,0.6281094527363185,0.4773156899810964,0.5424274973147154,0.9267491148928816,0.9046673387162277,0.16761469841003418
SVM,0.8970474400088466,0.6501182033096927,0.2599243856332703,0.3713706954760297,0.8540648640586732,0.8982527322988695,65.06273984909058
MLP,0.9005860886873825,0.5987577639751552,0.4555765595463138,0.5174449812130971,0.8997191094360527,0.8964002308560192,26.74235200881958
DQN,0.8830034280659074,0.0,0.0,0.0,0.5331990038032085,N/A,0.5872561931610107
Double-DQN,0.8830034280659074,0.0,0.0,0.0,0.50853058605869,N/A,0.83933424949646
PER-DQN,0.8830034280659074,0.0,0.0,0.0,0.5184536104439681,N/A,0.6114935874938965
