Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Accuracy (5-fold),Training Time (sec)
Logistic Regression,0.8914077186774301,0.5945273631840796,0.22589792060491493,0.3273972602739726,0.8725826898970541,0.8910088162643179,0.0449986457824707
Decision Tree,0.899037929890523,0.5830469644902635,0.4810964083175803,0.5271879854997411,0.8485143457782963,0.8945201892181494,0.16908812522888184
Random Forest,0.9076633860444543,0.6718027734976888,0.4120982986767486,0.510837727006444,0.9257255747721684,0.904224914370252,4.703232288360596
Gradient Boosting,0.9033506579674887,0.6451104100946372,0.38657844990548207,0.483451536643026,0.9223782067747537,0.9045013827624219,4.081141471862793
AdaBoost,0.8979321021784806,0.6073131955484896,0.3610586011342155,0.45287492590397155,0.9075056255052892,0.8992480169817314,2.1731104850769043
Extra Trees,0.9018024991706293,0.6568265682656826,0.33648393194706994,0.445,0.920928300109018,0.9019576319805077,2.237139940261841
KNN,0.8922923808470641,0.5716723549488054,0.3166351606805293,0.4075425790754258,0.8089241642825099,0.8932205710464215,0.0030133724212646484
Naive Bayes,0.837996240185779,0.35536602700781805,0.4725897920604915,0.4056795131845842,0.8127459567975399,0.8388354935281306,0.018999576568603516
SVM,0.8971580227800509,0.6509433962264151,0.2608695652173913,0.3724696356275304,0.8543052722910277,0.8983356701408596,63.12013363838196
DQN,0.9015813336282207,0.647887323943662,0.34782608695652173,0.45264452644526443,0.906110346313326,N/A,12.11590576171875
